META;;;;;
;;;;;
;;;;;
text;regex char;errors limit;value;maximum;is_regex
second;s;1;0;60;0
minute;m;1;0;60;0
hour;h;0;0;24;0
hours;h;0;0;24;0
o'clock;h;0;0;24;0
week;w;0;0;7;0
month;K;0;0;0;0
year;y;0;0;0;0
january;M;1;1;31;0
february;M;2;2;29;0
march;M;0;3;31;0
april;M;1;4;30;0
may;M;0;5;31;0
june;M;0;6;30;0
july;M;0;7;31;0
august;M;1;8;31;0
september;M;2;9;30;0
october;M;2;10;31;0
november;M;2;11;30;0
december;M;2;12;31;0
day;d;0;0;0;0
monday;d;1;2;0;0
tuesday;d;2;3;0;0
wednesday;d;2;4;0;0
thursday;d;1;5;0;0
friday;d;1;6;0;0
saturday;d;1;7;0;0
sunday;d;1;1;0;0
at;p;0;0;0;0
on;P;0;0;0;0
and;I;0;0;0;0
next;F;0;0;0;0
am;O;0;5;0;0
pm;O;0;6;0;0
p.m.;O;0;6;0;0
a.m.;O;0;5;0;0
half;H;0;0;0;0
to;B;0;0;0;0
tomorrow;A;1;1;0;0
in;C;0;0;0;0
after;C;0;0;0;0
from;V;0;0;0;0
every;E;0;0;0;0
past;L;0;0;0;0
of;Q;0;0;0;0
until;Z;1;0;0;0
times;t;0;0;0;""
^[0-9]{1,2}[sS]$;0;0;0;60;1
^[0-9]{1,2}m$;1;0;0;60;1
^[0-9]{1,2}[hH]$;2;0;0;24;1
^[0-9]{1,2}[dD]$;3;0;0;0;1
^[0-9]{1,2}M$;4;0;0;12;1
^[0-9]{1,2}[yY]$;5;0;0;0;1
