META;;;;;
;;;;;
;;;;;
text;regex char;errors limit;value;maximum;is_regex
секунда;s;2;0;60;0
минута;m;2;0;60;0
час;h;0;0;24;0
часа;h;0;0;24;0
часов;h;0;0;24;0
неделя;w;2;0;7;0
месяц;K;0;0;0;0
месяца;K;0;0;0;0
месяцев;K;0;0;0;0
год;y;0;0;0;0
года;y;0;0;0;0
году;y;0;0;0;0
лет;y;0;0;0;0
январь;M;1;1;31;0
февраль;M;2;2;29;0
март;M;1;3;31;0
апрель;M;1;4;30;0
май;M;0;5;31;0
мая;M;0;5;31;0
мае;M;0;5;31;0
июнь;M;0;6;30;0
июне;M;0;6;30;0
июня;M;0;6;30;0
июль;M;0;7;31;0
июле;M;0;7;31;0
июля;M;0;7;31;0
август;M;1;8;31;0
сентябрь;M;2;9;30;0
октябрь;M;2;10;31;0
ноябрь;M;2;11;30;0
декабрь;M;2;12;31;0
днём;d;0;0;0;0
день;d;0;0;0;0
дней;d;0;0;0;0
дня;O;1;3;0;0
понедельник;d;3;2;0;0
вторник;d;2;3;0;0
среда;d;0;4;0;0
среду;d;0;4;0;0
среды;d;0;4;0;0
четверг;d;1;5;0;0
пятница;d;1;6;0;0
суббота;d;2;7;0;0
воскресенье;d;3;1;0;0
в;p;0;0;0;0
к;p;0;0;0;0
во;p;0;0;0;0
на;P;0;0;0;0
числа;S;1;0;0;0
и;I;0;0;0;0
следующий;F;3;0;0;0
ночь;O;1;1;0;0
утро;O;1;2;0;0
днём;O;1;3;0;0
вечер;O;2;4;0;0
пол;H;0;0;0;0
половина;H;1;0;0;0
полчаса;X;1;0;0;0
без;B;0;0;0;0
завтра;A;1;1;0;0
послезавтра;A;2;2;0;0
сегодня;A;1;0;0;0
через;C;0;0;0;0
с;V;0;0;0;0
до;Z;0;0;0;0
каждый;E;2;0;0;0
каждому;E;2;0;0;0
после;L;0;0;0;0
по;f;0;0;0;0
раз;t;0;0;0;0
^[0-9]{1,2}[сС]$;0;0;0;60;1
^[0-9]{1,2}м$;1;0;0;60;1
^[0-9]{1,2}[чЧ]$;2;0;0;24;1
^[0-9]{1,2}[дД]$;3;0;0;0;1
^[0-9]{1,2}М$;4;0;0;12;1
^[0-9]{1,2}[гГ]$;5;0;0;0;1
